Sample	Nb_read	Total_read	relative_abundance	Sample_bis
93SUR1GGZZ11	2589528	192599327	1.34451560155244	93SUR1GGZZ
94SUR0CCKK11	123724	230009431	0.053790837820037	94SUR0CCKK
94SUR1GGMM11	3841335	145270017	2.64427242408872	94SUR1GGMM
94SUR1GGZZ11	3353495	156824356	2.13837638842273	94SUR1GGZZ
95SUR1GGMM11	6011373	220451551	2.72684541012823	95SUR1GGMM
95SUR1GGZZ11	2774483	146812006	1.88982023718142	95SUR1GGZZ
96DCM1GGMM11	2954643	205722670	1.43622625547296	96DCM1GGMM
96DCM1GGZZ11	2737709	169094744	1.61903849595704	96DCM1GGZZ
96SUR0CCKK11	53774	188910040	0.0284654007801809	96SUR0CCKK
96SUR1GGMM11	83472	200809801	0.0415676922064178	96SUR1GGMM
96SUR1GGZZ11	71901	191812750	0.0374849951319712	96SUR1GGZZ
97DCM1GGZZ11	4376267	193447265	2.26225322958172	97DCM1GGZZ
97DCM2GGMM11	3605690	146685631	2.45810716115745	97DCM2GGMM
97SUR1GGMM11	68466	197985995	0.0345812338898011	97SUR1GGMM
97SUR1GGZZ11	76357	221529995	0.0344680186536365	97SUR1GGZZ
98DCM0CCKK11	272894	127622734	0.213828674129485	98DCM0CCKK
98DCM1GGMM12	1902	174694214	0.00108875958536326	98DCM1GGMM
98SUR0CCKK11	37889	126571370	0.0299348896989896	98SUR0CCKK
98SUR1GGMM11	56621	177426567	0.0319123572965259	98SUR1GGMM
99SUR0CCKK11	58390	169274791	0.0344942088866617	99SUR0CCKK
99SUR1GGMM11	60850	159150252	0.0382343095504492	99SUR1GGMM
99SUR1GGZZ11	54294	160776567	0.0337698465722309	99SUR1GGZZ
9DCM1GGMM11	4434494	164517555	2.69545338185946	9DCM1GGMM
9SUR1GGMM11	73151	180621465	0.0404996161447367	9SUR1GGMM
I00S00C000OA001S023	55042	166935885	0.0329719400954444	I00S00C000OA001S
I00S00C000OA001S320	63263	97248908	0.065052658483322	I00S00C000OA001S
I00S00C000OA002S023	31850	108778120	0.0292797853097663	I00S00C000OA002S
I00S00C000OA002S320	44665	118942324	0.0375518137681588	I00S00C000OA002S
I00S00C000OA003S023	569219	114962963	0.495132506283785	I00S00C000OA003S
I00S00C000OA003S320	622252	106722990	0.583053379595156	I00S00C000OA003S
I00S00C000OA004S023	715875	108175839	0.661769769125618	I00S00C000OA004S
I00S00C000OA004S320	1414127	143487358	0.985541179174823	I00S00C000OA004S
I00S00C000OA005S023	228012	98256124	0.232058818033571	I00S00C000OA005S
I00S00C000OA005S320	1636373	114689558	1.42678464241705	I00S00C000OA005S
I00S00C000OA006S023	735645	108342847	0.678997294579124	I00S00C000OA006S
I00S00C000OA006S320	225105	87962333	0.255910674856703	I00S00C000OA006S
I00S00C000OA007S023	49795	99616199	0.0499868500302847	I00S00C000OA007S
I00S00C000OA007S320	43483	110994318	0.0391758792553687	I00S00C000OA007S
I00S00C000OA008S023	210440	108849066	0.193331929922118	I00S00C000OA008S
I00S00C000OA008S320	114786	443837443	0.0258621713445659	I00S00C000OA008S
I00S00C000OA009S023	68996	127514255	0.0541084602658738	I00S00C000OA009S
I00S00C000OA009S320	565774	115375301	0.490377052190746	I00S00C000OA009S
I00S00C000OA010S023	66841	124673065	0.0536130237914661	I00S00C000OA010S
I00S00C000OA010S320	50090	120051043	0.0417239190499994	I00S00C000OA010S
I00S00C000OA011S023	41079	101500216	0.0404718350550111	I00S00C000OA011S
I00S00C000OA011S320	52523	117125981	0.044843167631612	I00S00C000OA011S
I00S00C000OA012S023	15904	106940856	0.0148717717389507	I00S00C000OA012S
I00S00C000OA012S320	28423	117693700	0.024149975742117	I00S00C000OA012S
I00S00C000OA013S023	14679	107594005	0.0136429534340691	I00S00C000OA013S
I00S00C000OA013S320	25975	105505623	0.0246195408940432	I00S00C000OA013S
I00S00C000OA014S023	14045	112146782	0.0125237655058172	I00S00C000OA014S
I00S00C000OA014S320	51170	213555001	0.023961040369174	I00S00C000OA014S
I00S00C000OA015S023	13727	113627341	0.0120807191994399	I00S00C000OA015S
I00S00C000OA015S320	25728	125135752	0.0205600714334621	I00S00C000OA015S
I00S00C000OA016S023	17286	116775806	0.014802723776533	I00S00C000OA016S
I00S00C000OA016S320	25208	100512688	0.0250794208189915	I00S00C000OA016S
I00S00C000OA017S023	19089	107399440	0.0177738356922531	I00S00C000OA017S
I00S00C000OA017S320	23048	117172591	0.0196701291686893	I00S00C000OA017S
I00S00C000OA018S023	17295	101914496	0.0169701079618742	I00S00C000OA018S
I00S00C000OA018S320	27950	120034553	0.0232849619559128	I00S00C000OA018S
I00S00C000OA019S023	17695	108867099	0.016253762764451	I00S00C000OA019S
I00S00C000OA019S320	24934	120001006	0.0207781591430992	I00S00C000OA019S
I00S00C000OA020S023	23513	125274634	0.0187691627979532	I00S00C000OA020S
I00S00C000OA021S023	26359	102317892	0.0257618677288621	I00S00C000OA021S
I00S00C000OA021S320	21986	108294233	0.0203020967884781	I00S00C000OA021S
I00S00C000OA022S023	20492	117307096	0.0174686789620979	I00S00C000OA022S
I00S00C000OA022S320	20765	95781668	0.0216795138710677	I00S00C000OA022S
I00S00C000OA023S023	30526	141061541	0.021640200286767	I00S00C000OA023S
I00S00C000OA023S320	15760	74180574	0.0212454543692261	I00S00C000OA023S
I00S00C000OA024S023	18416	87760379	0.0209844125673158	I00S00C000OA024S
I00S00C000OA024S320	37708	126183726	0.0298834098463696	I00S00C000OA024S
I00S00C000OA025S023	36562	94909349	0.0385230753189551	I00S00C000OA025S
I00S00C000OA025S320	27592	114357715	0.0241277993356198	I00S00C000OA025S
I00S00C000OA026S023	29679	114419154	0.0259388388765748	I00S00C000OA026S
I00S00C000OA026S320	24365	111908481	0.0217722551340859	I00S00C000OA026S
I00S00C000OA027S023	27985	93712859	0.0298624973121351	I00S00C000OA027S
I00S00C000OA027S320	36197	174488483	0.0207446356215957	I00S00C000OA027S
I00S00C000OA033S320	445954	122280660	0.364697082923825	I00S00C000OA033S
I00S00C000OA034S320	307564	137101958	0.224332317704755	I00S00C000OA034S
I00S00C000OA035S320	486193	160809428	0.302341104030294	I00S00C000OA035S
I00S00C000OA036S320	220339	128302752	0.171733650732605	I00S00C000OA036S
I00S00C000OA037S320	262663	120049758	0.218795109940996	I00S00C000OA037S
I00S00C000OA038S320	45841	145245564	0.0315610327348793	I00S00C000OA038S
I00S00C000OA039S320	45051	164905648	0.0273192583434134	I00S00C000OA039S
I00S00C000OA040S320	46399	187216162	0.0247836508901406	I00S00C000OA040S
I00S00C000OA192S023	39949	125559033	0.0318169063949385	I00S00C000OA192S
I00S00C000OA194S023	43510	138577187	0.0313976643211844	I00S00C000OA194S
I00S00C000OA197S023	35583	130394795	0.0272886659317958	I00S00C000OA197S
I00S00C000OA197S320	32189	144030269	0.0223487744787868	I00S00C000OA197S
I00S00C000OA198S023	35972	132068480	0.0272373847264692	I00S00C000OA198S
I00S00C000OA198S320	35154	158795111	0.0221379611617892	I00S00C000OA198S
I00S00C000OA200S023	30378	129522666	0.023453810007277	I00S00C000OA200S
I00S00C000OA200S320	52585	173409504	0.0303241741582976	I00S00C000OA200S
I00S00C000OA201S023	29662	134860905	0.0219945135322946	I00S00C000OA201S
I00S00C000OA201S320	55236	96789233	0.0570683311438164	I00S00C000OA201S
I01S01C000OA000S023	204586	147420985	0.138776714861863	I01S01C000OA000S
I01S01C000OA000S320	71092	97470867	0.0729366652704546	I01S01C000OA000S
I01S02C000OA000S023	188145	122390520	0.153725141457034	I01S02C000OA000S
I01S02C000OA000S320	42180	123460284	0.0341648331215567	I01S02C000OA000S
I01S02C010OA000S023	101087	96066803	0.105225735470764	I01S02C010OA000S
I01S02C010OA000S320	99151	176274649	0.056248020099589	I01S02C010OA000S
I01S03C000OA000S023	299238	107900424	0.277327918563137	I01S03C000OA000S
I01S03C000OA000S320	185085	143679906	0.128817595412402	I01S03C000OA000S
I01S03C001OA000S023	456944	113692373	0.401912624341124	I01S03C001OA000S
I01S03C001OA000S320	100829	103899083	0.0970451298400776	I01S03C001OA000S
